subj,word,sex,language,rating
1,1,m,ger,-9
1,2,f,ger,7
1,3,f,ger,-9
1,4,f,ger,-1
1,5,m,ger,-3
1,6,f,ger,-5
1,7,m,ger,-7
1,8,m,ger,-9
1,9,f,ger,11
1,10,m,ger,3
1,11,m,ger,-6
1,12,f,ger,7
1,13,f,ger,-3
1,14,m,ger,-1
1,15,f,ger,3
1,16,m,ger,-7
1,17,m,ger,-7
1,18,m,ger,5
1,19,m,ger,-7
1,20,m,ger,3
1,21,f,ger,-1
1,22,m,ger,3
1,23,f,ger,9
1,24,m,ger,-2
2,1,m,ger,-1
2,2,f,ger,1
2,3,f,ger,1
2,4,f,ger,2
2,5,m,ger,0
2,6,f,ger,-8
2,7,m,ger,-2
2,8,m,ger,-8
2,9,f,ger,0
2,10,m,ger,8
2,11,m,ger,-6
2,12,f,ger,8
2,13,f,ger,-7
2,14,m,ger,-6
2,15,f,ger,2
2,16,m,ger,3
2,17,m,ger,-6
2,18,m,ger,11
2,19,m,ger,-3
2,20,m,ger,-5
2,21,f,ger,2
2,22,m,ger,6
2,23,f,ger,5
2,24,m,ger,-9
3,1,m,ger,-1
3,2,f,ger,-2
3,3,f,ger,-7
3,4,f,ger,-5
3,5,m,ger,5
3,6,f,ger,-9
3,7,m,ger,-5
3,8,m,ger,5
3,9,f,ger,3
3,10,m,ger,3
3,11,m,ger,-5
3,12,f,ger,7
3,13,f,ger,-7
3,14,m,ger,-3
3,15,f,ger,-1
3,16,m,ger,-7
3,17,m,ger,-7
3,18,m,ger,11
3,19,m,ger,-7
3,20,m,ger,-3
3,21,f,ger,-1
3,22,m,ger,-5
3,23,f,ger,3
3,24,m,ger,-5
4,1,m,ger,1
4,2,f,ger,-1
4,3,f,ger,-3
4,4,f,ger,-3
4,5,m,ger,5
4,6,f,ger,-1
4,7,m,ger,-3
4,8,m,ger,-3
4,9,f,ger,11
4,10,m,ger,5
4,11,m,ger,-4
4,12,f,ger,1
4,13,f,ger,1
4,14,m,ger,2
4,15,f,ger,4
4,16,m,ger,-7
4,17,m,ger,-3
4,18,m,ger,7
4,19,m,ger,-9
4,20,m,ger,-3
4,21,f,ger,-1
4,22,m,ger,-1
4,23,f,ger,9
4,24,m,ger,-3
5,1,m,ger,1
5,2,f,ger,1
5,3,f,ger,3
5,4,f,ger,3
5,5,m,ger,11
5,6,f,ger,-1
5,7,m,ger,-2
5,8,m,ger,-9
5,9,f,ger,11
5,10,m,ger,-1
5,11,m,ger,1
5,12,f,ger,2
5,13,f,ger,-9
5,14,m,ger,1
5,15,f,ger,9
5,16,m,ger,2
5,17,m,ger,-9
5,18,m,ger,11
5,19,m,ger,-11
5,20,m,ger,-3
5,21,f,ger,-1
5,22,m,ger,1
5,23,f,ger,7
