subj,word,assoc_i,rater_i,sex_port,sex_ger,sex,language,rating
1,1,2,1,f,m,f,por,0
1,1,2,2,f,m,f,por,0
1,1,2,3,f,m,f,por,0
1,1,2,4,f,m,f,por,1
1,1,2,5,f,m,f,por,0
1,1,3,1,f,m,f,por,1
1,1,3,2,f,m,f,por,1
1,1,3,3,f,m,f,por,1
1,1,3,4,f,m,f,por,1
1,1,3,5,f,m,f,por,1
1,2,1,1,m,f,m,por,0
1,2,1,2,m,f,m,por,0
1,2,1,3,m,f,m,por,0
1,2,1,4,m,f,m,por,0
1,2,1,5,m,f,m,por,1
1,2,2,1,m,f,m,por,1
1,2,2,2,m,f,m,por,0
1,2,2,3,m,f,m,por,0
1,2,2,4,m,f,m,por,0
1,2,2,5,m,f,m,por,1
1,2,3,1,m,f,m,por,0
1,2,3,2,m,f,m,por,0
1,2,3,3,m,f,m,por,0
1,2,3,4,m,f,m,por,0
1,2,3,5,m,f,m,por,1
1,3,1,1,m,f,m,por,0
1,3,1,2,m,f,m,por,0
1,3,1,3,m,f,m,por,0
1,3,1,4,m,f,m,por,0
1,3,1,5,m,f,m,por,0
1,3,2,1,m,f,m,por,1
1,3,2,2,m,f,m,por,0
1,3,2,3,m,f,m,por,0
1,3,2,4,m,f,m,por,0
1,3,2,5,m,f,m,por,1
1,3,3,1,m,f,m,por,1
1,3,3,2,m,f,m,por,0
1,3,3,3,m,f,m,por,1
1,3,3,4,m,f,m,por,0
1,3,3,5,m,f,m,por,0
1,4,1,1,m,f,m,por,1
1,4,1,2,m,f,m,por,0
1,4,1,3,m,f,m,por,0
1,4,1,4,m,f,m,por,1
1,4,1,5,m,f,m,por,1
1,4,2,1,m,f,m,por,1
1,4,2,2,m,f,m,por,1
1,4,2,3,m,f,m,por,0
1,4,2,4,m,f,m,por,1
1,4,2,5,m,f,m,por,0
1,4,3,1,m,f,m,por,1
1,4,3,2,m,f,m,por,1
1,4,3,3,m,f,m,por,1
1,4,3,4,m,f,m,por,1
1,4,3,5,m,f,m,por,1
1,5,1,1,f,m,f,por,1
1,5,1,2,f,m,f,por,1
1,5,1,3,f,m,f,por,1
1,5,1,4,f,m,f,por,1
1,5,1,5,f,m,f,por,1
1,5,2,1,f,m,f,por,1
1,5,2,2,f,m,f,por,1
1,5,2,3,f,m,f,por,1
1,5,2,4,f,m,f,por,1
1,5,2,5,f,m,f,por,1
1,5,3,1,f,m,f,por,1
1,5,3,2,f,m,f,por,1
1,5,3,3,f,m,f,por,1
1,5,3,4,f,m,f,por,1
1,5,3,5,f,m,f,por,1
1,6,1,1,m,f,m,por,0
1,6,1,2,m,f,m,por,0
1,6,1,3,m,f,m,por,0
1,6,1,4,m,f,m,por,0
1,6,1,5,m,f,m,por,0
1,6,2,1,m,f,m,por,1
1,6,2,2,m,f,m,por,0
1,6,2,3,m,f,m,por,0
1,6,2,4,m,f,m,por,0
1,6,2,5,m,f,m,por,1
1,6,3,1,m,f,m,por,0
1,6,3,2,m,f,m,por,1
1,6,3,3,m,f,m,por,0
1,6,3,4,m,f,m,por,0
1,6,3,5,m,f,m,por,0
1,7,1,1,f,m,f,por,1
1,7,1,2,f,m,f,por,1
1,7,1,3,f,m,f,por,1
1,7,1,4,f,m,f,por,1
1,7,1,5,f,m,f,por,1
1,7,2,1,f,m,f,por,1
1,7,2,2,f,m,f,por,1
1,7,2,3,f,m,f,por,1
1,7,2,4,f,m,f,por,1
1,7,2,5,f,m,f,por,1
1,7,3,1,f,m,f,por,0
1,7,3,2,f,m,f,por,1
1,7,3,3,f,m,f,por,1
1,7,3,4,f,m,f,por,1
1,7,3,5,f,m,f,por,0
1,8,1,1,f,m,f,por,1
1,8,1,2,f,m,f,por,1
1,8,1,3,f,m,f,por,0
1,8,1,4,f,m,f,por,1
